Server,Server Name,Name Length,Operating System,ImageName,Storage Account,subnet,Availability Set,OS Disk in GBs (VMWare),Data Disk in GBs (VMWware),Azure Instance Type,VM Size Code
Doc Engine Server 01,POC-EUS-Doc01,13,Windows,Win2012R2,igloovmstoragestd,biz,None,60,None,D2v2,Standard_D2_v2
Doc Engine Server 02,POC-EUS-Doc02,13,Windows,Win2012R2,igloovmstoragestd,biz,None,60,None,D2v2,Standard_D2_v2
Web Server 01,POC-EUS-Web01,13,Windows,Win2012R2,igloovmstoragestd,web,Igloo-POC-Web-AS,60,None,D2v2,Standard_D2_v2
Web Server 02,POC-EUS-Web02,13,Windows,Win2012R2,igloovmstoragestd,web,Igloo-POC-Web-AS,60,None,D2v2,Standard_D2_v2
Web Server 03,POC-EUS-Web03,13,Windows,Win2012R2,igloovmstoragestd,web,Igloo-POC-Web-AS,60,None,D2v2,Standard_D2_v2
Web Server 04,POC-EUS-Web04,13,Windows,Win2012R2,igloovmstoragestd,web,Igloo-POC-Web-AS,60,None,D2v2,Standard_D2_v2
Windows Update Services (WSUS),POC-EUS-WSUS,12,Windows,Win2012R2,igloovmstoragestd,mgmt,None,60,200,D2v2,Standard_D2_v2
Video Engine Server 01,POC-EUS-Vid01,13,Windows,Win2012R2,igloovmstoragestd,biz,None,60,None,F4,Standard_F4
Video Engine Server 02,POC-EUS-Vid02,13,Windows,Win2012R2,igloovmstoragestd,biz,None,60,None,F4,Standard_F4
Monitoring Server 01 (PRTG),POC-EUS-mon01,13,Windows,Win2012R2,igloovmstorageprem,biz,None,40,2048,F8,Standard_F8
